source,brand_query,source_url,product_url,product_id,asin,sku,product_name,brand,category_raw,subcategory_raw,product_type_raw,tags_raw,price_raw,mrp_raw,discount_raw,pack_size_raw,rating_raw,review_count_raw,availability_raw,seller_raw,description_raw,scraped_at,raw_source_reference,rejection_reason,raw_page_reference,review_source
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BNMSYJ2W,B0BNMSYJ2W,B0BNMSYJ2W,,Odonil,Odonil,,,,[],239,119.50,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0F4RFNB1V,B0F4RFNB1V,B0F4RFNB1V,,Odonil,Odonil,,,,[],287,47.83,,,4.3,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BNMRHTGM,B0BNMRHTGM,B0BNMRHTGM,,Odonil,Odonil,,,,[],239,119.50,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BYJCN8K9,B0BYJCN8K9,B0BYJCN8K9,,Odonil,Odonil,,,,[],189,210,,,4.1,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0725S6MVR,B0725S6MVR,B0725S6MVR,,Odonil,Odonil,,,,[],51,51,,,4.0,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BPCM1K3M,B0BPCM1K3M,B0BPCM1K3M,,Odonil,Odonil,,,,[],51,510,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0D9BW13YJ,B0D9BW13YJ,B0D9BW13YJ,,Odonil,Odonil,,,,[],499,99.80,,,4.0,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0H2YZKGJR,B0H2YZKGJR,B0H2YZKGJR,,Odonil,Odonil,,,,[],230,23000,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B096VK7TFQ,B096VK7TFQ,B096VK7TFQ,,Odonil,Odonil,,,,[],255,63.75,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BKZNB7BF,B0BKZNB7BF,B0BKZNB7BF,,Odonil,Odonil,,,,[],245,81.67,,,4.0,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0144P3GAM,B0144P3GAM,B0144P3GAM,,Odonil,Odonil,,,,[],98,98,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0DFT3CY3M,B0DFT3CY3M,B0DFT3CY3M,,Odonil,Odonil,,,,[],270,60,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B09N8JZYYT,B09N8JZYYT,B09N8JZYYT,,Odonil,Odonil,,,,[],236,47.20,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0967PFFYP,B0967PFFYP,B0967PFFYP,,Odonil,Odonil,,,,[],339,84.75,,,4.3,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0CL3PSVWY,B0CL3PSVWY,B0CL3PSVWY,,Odonil,Odonil,,,,[],314,384,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B08BX4NW5W,B08BX4NW5W,B08BX4NW5W,,Odonil,Odonil,,,,[],298,74.50,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B08L4W365W,B08L4W365W,B08L4W365W,,Odonil,Odonil,,,,[],169,84.50,,,3.9,3,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0BNMSPPT7,B0BNMSPPT7,B0BNMSPPT7,,Odonil,Odonil,,,,[],225,112.50,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B01469AI4S,B01469AI4S,B01469AI4S,,Odonil,Odonil,,,,[],171,171,,,3.7,3,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B07V4CQ4P8,B07V4CQ4P8,B07V4CQ4P8,,Odonil,Odonil,,,,[],160,160,,,3.9,3,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B00TS8C3DC,B00TS8C3DC,B00TS8C3DC,,Odonil,Odonil,,,,[],90,120,,,4.2,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B0B2R6RVD6,B0B2R6RVD6,B0B2R6RVD6,,Odonil,Odonil,,,,[],307,307,,,4.5,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
Amazon India,Odonil,https://amazon.in,https://www.amazon.in/dp/B077Y2P5PL,B077Y2P5PL,B077Y2P5PL,,Odonil,Odonil,,,,[],320,53.33,,,4.0,4,In Stock,,,2026-09-23T18:57:05.508012+00:00,search_q1_p1_20260923T184810Z.html,duplicate_canonical_product,,
